combinum,vegid,year,layer,species,age,height,maxlai,sai,density
7,SLB1NN,1966,1,Fagus sylvatica,120,25.2,5.4514,0.4636,1
7,SLB1NN,1967,1,Fagus sylvatica,121,25.3,5.5870,0.4747,1
7,SLB1NN,1968,1,Fagus sylvatica,122,26.2,5.5637,0.4859,1
7,SLB1NN,1969,1,Fagus sylvatica,123,26.3,5.6744,0.4952,1
7,SLB1NN,1970,1,Fagus sylvatica,124,27.1,5.5905,0.5005,1
7,SLB1NN,1971,1,Fagus sylvatica,125,27.3,5.6797,0.5098,1
7,SLB1NN,1972,1,Fagus sylvatica,126,27.5,5.6462,0.5080,1
7,SLB1NN,1973,1,Fagus sylvatica,127,27.6,5.7057,0.5138,1
7,SLB1NN,1974,1,Fagus sylvatica,128,27.6,5.7746,0.5191,1
7,SLB1NN,1975,1,Fagus sylvatica,129,27.7,5.8595,0.5272,1
7,SLB1NN,1976,1,Fagus sylvatica,130,27.7,5.9644,0.5353,1
7,SLB1NN,1977,1,Fagus sylvatica,131,27.8,5.9196,0.5317,1
7,SLB1NN,1978,1,Fagus sylvatica,132,28,5.9848,0.5398,1
7,SLB1NN,1979,1,Fagus sylvatica,133,28.1,6.0350,0.5453,1
7,SLB1NN,1980,1,Fagus sylvatica,134,28.2,6.1204,0.5534,1
7,SLB1NN,1981,1,Fagus sylvatica,135,28.3,6.1239,0.5542,1
7,SLB1NN,1982,1,Fagus sylvatica,136,28.4,6.2092,0.5625,1
7,SLB1NN,1983,1,Fagus sylvatica,137,28.5,6.2597,0.5680,1
7,SLB1NN,1984,1,Fagus sylvatica,138,28.6,6.3458,0.5763,1
7,SLB1NN,1985,1,Fagus sylvatica,139,28.6,6.2793,0.5689,1
7,SLB1NN,1986,1,Fagus sylvatica,140,28.7,6.3291,0.5744,1
7,SLB1NN,1987,1,Fagus sylvatica,141,28.7,6.4347,0.5826,1
7,SLB1NN,1988,1,Fagus sylvatica,142,28.7,6.5057,0.5882,1
7,SLB1NN,1989,1,Fagus sylvatica,143,28.8,6.5921,0.5965,1
7,SLB1NN,1990,1,Fagus sylvatica,144,28.8,6.6640,0.6021,1
7,SLB1NN,1991,1,Fagus sylvatica,145,29,6.5397,0.5938,1
7,SLB1NN,1992,1,Fagus sylvatica,146,29.1,6.6250,0.6021,1
7,SLB1NN,1993,1,Fagus sylvatica,147,29.3,6.6544,0.6076,1
7,SLB1NN,1994,1,Fagus sylvatica,148,29.4,6.7403,0.6160,1
7,SLB1NN,1995,1,Fagus sylvatica,149,29.6,6.7699,0.6217,1
7,SLB1NN,1996,1,Fagus sylvatica,150,29.7,6.4022,0.5889,1
7,SLB1NN,1997,1,Fagus sylvatica,151,29.8,6.4161,0.5915,1
7,SLB1NN,1998,1,Fagus sylvatica,152,29.9,6.4638,0.5969,1
7,SLB1NN,1999,1,Fagus sylvatica,153,30,6.5115,0.6023,1
7,SLB1NN,2000,1,Fagus sylvatica,154,29.8,5.3991,0.4963,1
7,SLB1NN,2001,1,Fagus sylvatica,155,29.6,5.4607,0.4986,1
7,SLB1NN,2002,1,Fagus sylvatica,156,29.3,5.5117,0.4986,1
7,SLB1NN,2003,1,Fagus sylvatica,157,29.1,5.5751,0.5008,1
7,SLB1NN,2004,1,Fagus sylvatica,158,28.9,5.6103,0.5008,1
7,SLB1NN,2005,1,Fagus sylvatica,159,28.9,5.6977,0.5075,1
7,SLB1NN,2006,1,Fagus sylvatica,160,29,5.7677,0.5143,1
7,SLB1NN,2007,1,Fagus sylvatica,161,29,5.8564,0.5211,1
7,SLB1NN,2008,1,Fagus sylvatica,162,30,5.7647,0.5280,1
7,SLB1NN,2009,1,Fagus sylvatica,163,30.1,4.9807,0.4566,1
7,SLB1NN,2010,1,Fagus sylvatica,164,30.2,4.9934,0.4579,1
7,SLB1NN,2011,1,Fagus sylvatica,165,30.4,4.9881,0.4598,1
7,SLB1NN,2012,1,Fagus sylvatica,166,30.5,5.0109,0.4624,1
7,SLB1NN,2013,1,Fagus sylvatica,167,30.6,5.0701,0.4683,1
7,SLB1NN,2014,1,Fagus sylvatica,168,30.6,4.6115,0.4256,1
