TRD.Teepe,Texture.Teepe,LK.teepe,nFK.teepe,PWP.teepe,Corg.teepe,LK.ZuschlagCorg,nFK.ZuschlagCorg,PWP.ZuschlagCorg,ThS.teepe,n.teepe,alpha.teepe,ThR.teepe
0,Teepe1,26.9,26.8,16.6,3.6,0.5,0.5,1.5,69.8,1.17,0.302,0
0,Teepe10,28.9,24.5,20.5,6.7,2,1,-1,72.2,1.146,0.346,0
0,Teepe2,30.9,25.2,13.4,2.3,1.5,1.5,2,68.8,1.203,0.26,0
0,Teepe3,36,24.7,15,4.5,0,0,0,68.3,1.939,0.02,0
0,Teepe4,26,31.8,13.1,2,1.5,2,-1,70.6,1.213,0.124,0
0,Teepe5,20.4,29.2,17.8,3.7,1,2,0,66.5,1.184,0.086,0
0,Teepe6,31.3,27.8,17.6,7,0.5,2,0.5,76.6,1.185,0.245,0
0,Teepe7,23,24.7,17.6,5.5,3,1,-0.5,65.6,1.167,0.156,0
0,Teepe8,17.4,22.6,28.2,4.2,0,1.5,1,68,1.102,0.239,0
0,Teepe9,19.2,28.4,23.2,5.6,2,1.5,0,70.8,1.148,0.125,0
1,Teepe1,26.5,21.2,8.6,1.9,0.5,0.5,1.5,56.2,1.238,0.301,0
1,Teepe10,13.5,15.1,27.1,1.8,2,1,-1,56.1,1.081,0.423,0
1,Teepe2,25.4,20.4,10.2,1.1,1.5,1.5,2,56.4,1.191,0.419,0
1,Teepe3,19.8,21.2,15.1,1.5,0,0,0,57.9,1.193,0.158,0
1,Teepe4,20.5,19.8,15.8,1.5,1.5,2,-1,56,1.147,0.349,0
1,Teepe5,17.1,24.4,14.5,2.3,1,2,0,55.6,1.186,0.086,0
1,Teepe6,15,28.6,13,1,0.5,2,0.5,56.2,1.211,0.042,0
1,Teepe7,16,21.9,17.1,2.1,3,1,-0.5,54.6,1.137,0.163,0
1,Teepe8,13.3,23.5,21.7,0.6,0,1.5,1,58.4,1.126,0.09,0
1,Teepe9,12.8,24.3,19.2,1.2,2,1.5,0,54.2,1.13,0.064,0
2,Teepe1,23.1,19.7,5.1,0.8,0.5,0.5,1.5,47.8,1.655,0.06,5.5
2,Teepe10,6.5,15.4,27.9,0.8,2,1,-1,49.2,1.084,0.033,0
2,Teepe2,17.2,20.9,10.8,0.6,1.5,1.5,2,48.5,1.191,0.203,0
2,Teepe3,17.2,20.9,10.8,0.6,0,0,0,48.5,1.191,0.203,0
2,Teepe4,16,16.1,17.6,0.7,1.5,2,-1,49.1,1.112,0.466,0
2,Teepe5,13.6,21.8,13.6,1.5,1,2,0,48.2,1.159,0.103,0
2,Teepe6,9,25.2,14.2,0.5,0.5,2,0.5,47.9,1.201,0.025,0
2,Teepe7,9.9,19.5,19,0.4,3,1,-0.5,47.6,1.124,0.053,0
2,Teepe8,13.6,16.1,21.4,0.4,0,1.5,1,48.6,1.085,0.655,0
2,Teepe9,7,24.3,16.7,0.6,2,1.5,0,45.7,1.189,0.008,0
3,Teepe1,18.4,15.8,7.3,0.5,0.5,0.5,1.5,41.5,1.218,0.352,0
3,Teepe10,3.9,14.2,23.5,0.3,2,1,-1,41.2,1.092,0.018,0
3,Teepe2,14.3,17.5,11.4,0.3,1.5,1.5,2,41.6,1.166,0.181,0
3,Teepe3,12.4,22.4,9.2,0.3,0,0,0,42.1,1.246,0.039,0
3,Teepe4,9.4,14.3,17.3,0.5,1.5,2,-1,40.8,1.103,0.17,0
3,Teepe5,8.6,22.5,11.6,0.3,1,2,0,41.5,1.21,0.024,0
3,Teepe6,4.9,19.7,17,0.9,0.5,2,0.5,41,1.159,0.014,0
3,Teepe7,4.2,19.9,17.6,0.3,3,1,-0.5,40.6,1.166,0.008,0
3,Teepe8,5.2,13.7,22.6,0.3,0,1.5,1,41.1,1.086,0.047,0
3,Teepe9,5.7,13,22.4,0.3,2,1.5,0,41.1,1.087,0.044,0
4,Teepe1,11.4,17,7.3,0.3,0.5,0.5,1.5,36.2,1.237,0.074,0
4,Teepe10,3,11.2,21.5,0.3,2,1,-1,35.4,1.081,0.022,0
4,Teepe2,8.9,14.4,11.8,0.3,1.5,1.5,2,34.9,1.132,0.272,0
4,Teepe3,4.8,14.3,13.1,0.3,0,0,0,31.3,1.124,0.027,0
4,Teepe4,4.1,10.5,19.5,0.3,1.5,2,-1,33,1.074,0.034,0
4,Teepe5,3.2,19.3,14.6,0.3,1,2,0,36.3,1.2,0.006,0
4,Teepe6,2.1,12.4,19.1,0.3,0.5,2,0.5,36.3,1.146,0.005,0
4,Teepe7,3.3,11.6,21.8,0.3,3,1,-0.5,35.4,1.099,0.098,0
4,Teepe8,2.7,10.5,22.8,0.3,0,1.5,1,35.8,1.068,0.041,0
4,Teepe9,3,11.2,21.5,0.3,2,1.5,0,35.4,1.081,0.022,0
