"dates","prec"
2013-01-01,0
2013-01-01,0
2013-01-01,0
2013-01-01,0
2013-01-01,0.100000001490116
2013-01-01,0.100000001490116
2013-01-01,0.100000001490116
2013-01-01,0.400000005960464
2013-01-01,0.800000011920929
2013-01-01,0
2013-01-01,0.100000001490116
2013-01-01,0.300000004470348
2013-01-01,0.200000002980232
2013-01-01,0
2013-01-01,0.400000005960464
2013-01-01,0
2013-01-01,0.200000002980232
2013-01-01,0.500000007450581
2013-01-01,0
2013-01-01,0
2013-01-01,0
2013-01-01,0
2013-01-01,0
2013-01-01,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0
2013-01-02,0.300000004470348
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0.100000001490116
2013-01-03,1.90000002831221
2013-01-03,0.100000001490116
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-03,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0.500000007450581
2013-01-04,0
2013-01-04,0.200000002980232
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0.200000002980232
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-04,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-05,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-06,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-07,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,1.10000001639128
2013-01-08,0.100000001490116
2013-01-08,0
2013-01-08,0
2013-01-08,0.100000001490116
2013-01-08,0
2013-01-08,0.500000007450581
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-08,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0.700000010430813
2013-01-09,0.500000007450581
2013-01-09,0.800000011920929
2013-01-09,1.10000001639128
2013-01-09,0.800000011920929
2013-01-09,0.900000013411045
2013-01-09,0.700000010430813
2013-01-09,0.700000010430813
2013-01-09,0
2013-01-09,0
2013-01-09,0
2013-01-09,0.300000004470348
2013-01-10,0.400000005960464
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0.300000004470348
2013-01-10,0.300000004470348
2013-01-10,0.500000007450581
2013-01-10,1.40000002086163
2013-01-10,2.30000003427267
2013-01-10,0.100000001490116
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-10,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0.100000001490116
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-11,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-12,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0.100000001490116
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-13,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-14,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-15,0.100000001490116
2013-01-15,0.100000001490116
2013-01-15,0.100000001490116
2013-01-15,0
2013-01-15,0
2013-01-15,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-16,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-17,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-18,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-19,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0
2013-01-20,0.200000002980232
2013-01-20,0.200000002980232
2013-01-21,0.500000007450581
2013-01-21,0.500000007450581
2013-01-21,1.00000001490116
2013-01-21,0.400000005960464
2013-01-21,0.400000005960464
2013-01-21,0
2013-01-21,0
2013-01-21,0.100000001490116
2013-01-21,0
2013-01-21,0.100000001490116
2013-01-21,0
2013-01-21,0.200000002980232
2013-01-21,0.500000007450581
2013-01-21,0.100000001490116
2013-01-21,0.200000002980232
2013-01-21,0.100000001490116
2013-01-21,0.200000002980232
2013-01-21,0.800000011920929
2013-01-21,0.600000008940697
2013-01-21,0
2013-01-21,0
2013-01-21,0
2013-01-21,0
2013-01-21,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
2013-01-22,0
