Profil-Nr.,Ort,"Gesamt-entnahme-
volumen cm3",von,bis,"erreichte
Tiefe",Mächt,Anz.pMipr,Anz.Wdhl,Bemerkungen,Lab.Nr. ,Jahr,1. Baumart,<2 [g]
10001,SLB1,2450,0,5,5,5,4,6,,41608,2002,Buche,1.398
10001,SLB1,2450,5,10,10,5,4,6,,41609,2002,Buche,2.516
10001,SLB1,2716,10,20,20,10,4,6,,41610,2002,Buche,0.724
10001,SLB1,2716,20,30,30,10,4,6,,41611,2002,Buche,1.567
10001,SLB1,2716,30,40,40,10,4,6,,41612,2002,Buche,1.920
10001,SLB1,2716,40,50,50,10,4,6,,41613,2002,Buche,2.078
10001,SLB1,5432,50,70,70,20,4,6,,41614,2002,Buche,4.155
10001,SLB1,2716,70,80,80,10,4,6,,41615,2002,Buche,0.105
10001,SLB1,5160,80,100,99,20,4,6,,41616,2002,Buche,2.102
10002,SLB1,2450,0,5,5,5,4,6,,41617,2002,Buche,1.339
10002,SLB1,2450,5,10,10,5,4,6,,41618,2002,Buche,1.595
10002,SLB1,2716,10,20,20,10,4,6,,41619,2002,Buche,1.708
10002,SLB1,2716,20,30,30,10,4,6,,41620,2002,Buche,1.321
10002,SLB1,2716,30,40,40,10,4,6,,41621,2002,Buche,1.217
10002,SLB1,2716,40,50,50,10,4,6,,41622,2002,Buche,0.450
10002,SLB1,5432,50,70,70,20,4,6,,41623,2002,Buche,1.120
10002,SLB1,2716,70,80,80,10,4,6,,41624,2002,Buche,0.186
10002,SLB1,5432,80,100,100,20,4,6,,41625,2002,Buche,0.154
10003,SLB1,2450,0,5,5,5,4,6,,41626,2002,Buche,1.991
10003,SLB1,2450,5,10,10,5,4,6,,41627,2002,Buche,1.807
10003,SLB1,2716,10,20,20,10,4,6,,41628,2002,Buche,4.648
10003,SLB1,2716,20,30,30,10,4,6,,41629,2002,Buche,3.084
10003,SLB1,2716,30,40,40,10,4,6,,41630,2002,Buche,1.028
10003,SLB1,2716,40,50,50,10,4,6,,41631,2002,Buche,0.546
10003,SLB1,5432,50,70,70,20,4,6,,41632,2002,Buche,1.796
10003,SLB1,2716,70,80,80,10,4,6,,41633,2002,Buche,0.198
10003,SLB1,5432,80,100,100,20,4,6,,41634,2002,Buche,1.379
10004,SLB1,2450,0,5,5,5,4,6,,41635,2002,Buche,2.336
10004,SLB1,2450,5,10,10,5,4,6,,41636,2002,Buche,1.498
10004,SLB1,2716,10,20,20,10,4,6,,41637,2002,Buche,0.830
10004,SLB1,2716,20,30,30,10,4,6,,41638,2002,Buche,0.916
10004,SLB1,2716,30,40,40,10,4,6,,41639,2002,Buche,0.411
10004,SLB1,2716,40,50,50,10,4,6,,41640,2002,Buche,0.411
10004,SLB1,5432,50,70,70,20,4,6,,41641,2002,Buche,1.030
10004,SLB1,2716,70,80,80,10,4,6,keine Analyse ,41642,2002,Buche,0.020
10004,SLB1,5432,80,100,100,20,4,6,,,,Buche,0.000
10005,SLB1,2450,0,5,5,5,4,6,,41643,2002,Buche,2.449
10005,SLB1,2450,5,10,10,5,4,6,,41644,2002,Buche,1.873
10005,SLB1,2716,10,20,20,10,4,6,,41645,2002,Buche,0.489
10005,SLB1,2716,20,30,30,10,4,6,,41646,2002,Buche,0.723
10005,SLB1,2716,30,40,40,10,4,6,,41647,2002,Buche,0.875
10005,SLB1,2716,40,50,50,10,4,6,,41648,2002,Buche,1.020
10005,SLB1,5432,50,70,70,20,4,6,,41649,2002,Buche,1.945
10005,SLB1,2716,70,80,80,10,4,6,,41650,2002,Buche,0.272
10005,SLB1,5432,80,100,100,20,4,6,,41651,2002,Buche,0.030
10006,SLB1,2450,0,5,5,5,4,6,,41652,2002,Buche,1.227
10006,SLB1,2450,5,10,10,5,4,6,,41653,2002,Buche,0.930
10006,SLB1,2716,10,20,20,10,4,6,,41654,2002,Buche,2.312
10006,SLB1,2716,20,30,30,10,4,6,,41655,2002,Buche,0.990
10006,SLB1,2716,30,40,40,10,4,6,,41656,2002,Buche,1.627
10006,SLB1,2716,40,50,50,10,4,6,,41657,2002,Buche,0.389
10006,SLB1,5432,50,70,70,20,4,6,,41658,2002,Buche,3.831
10006,SLB1,2716,70,80,80,10,4,6,,41659,2002,Buche,2.070
10006,SLB1,5432,80,100,100,20,4,6,,,,Buche,0.000
