dates,tmin,tmax,tmean,prec,relhum,globrad,wind
1/1/1960,3.8,7.9,6.2,10.4208796,87,11.3,1.2
1/2/1960,4.6,6.6,5.2,3.083729679,95,1.2,0.7
1/3/1960,2.9,4.9,3.5,11.59057017,100,1.4,0.7
1/4/1960,1.2,3.9,2.8,0,98,1.5,0.7
1/5/1960,2.1,5.3,3.8,14.78063536,96,1.6,1.3
1/6/1960,-0.1,3.2,1.3,4.99776879,95,4.6,1.1
1/7/1960,1,3.1,2.7,10.63355062,100,1.9,0.8
1/8/1960,-2.9,2.6,-0.6,1.807703605,93,7.6,0.9
1/9/1960,-8.9,-2.8,-7.5,1.701368099,83,13.1,0.9
1/10/1960,-11.1,-6,-8.5,4.040749234,85,27.3,0.9
1/11/1960,-9.1,-4.7,-7.5,1.595032592,90,4.4,0.8
1/12/1960,-17,-8.4,-11,1.063355062,89,16.1,0.6
1/13/1960,-17.7,-10.2,-13,5.316775308,90,8.7,0.5
1/14/1960,-12.9,-6.4,-9.5,1.701368099,89,4.8,0.8
1/15/1960,-22.5,-10.6,-17.7,0.850684049,90,21.3,0.6
1/16/1960,-18,-5,-6.6,1.488697086,93,3.8,0.9
1/17/1960,-7.9,-5.1,-6.3,1.063355062,93,6.7,0.7
1/18/1960,-6.7,-1.2,-2.4,1.063355062,90,4.3,1.6
1/19/1960,-1.3,1,0.2,3.190065185,88,5.4,1.5
1/20/1960,-2.1,0.1,-1.4,4.99776879,85,5.7,3.4
1/21/1960,-3,-1.2,-2,2.76472316,83,5.2,1
1/22/1960,-2.4,2.8,1.7,1.169690568,98,6,1.2
1/23/1960,1.5,5.5,3.5,0.957019555,88,14.7,1.8
1/24/1960,2.3,7.9,5.9,0.744348543,82,18,1.9
1/25/1960,3.1,7.2,5.3,3.934413728,91,8.1,0.7
1/26/1960,0.5,5.3,2.5,0.531677531,94,7.2,0.8
1/27/1960,-0.8,3.6,2.3,5.635781826,97,7.6,0.8
1/28/1960,2.1,6.5,4.9,1.38236158,90,8.8,1.1
1/29/1960,-0.4,5.4,1.2,4.785097777,87,8.7,1.8
1/30/1960,-3.2,0.4,-2.3,10.4208796,99,8.2,0.7
1/31/1960,-5.8,-2.9,-5.1,2.126710123,86,8.6,0.9
2/1/1960,-7.1,-3.4,-5.2,0,85,24.7,1.4
2/2/1960,-5.5,-2,-2.6,0,90,9.4,0.9
2/3/1960,-2.6,2.5,0.7,0.531677531,91,14,1.3
2/4/1960,-0.4,1.7,0.4,0.957019555,92,10.2,1.2
2/5/1960,-1.1,2.1,0.1,0.638013037,94,17.2,0.6
2/6/1960,-7.7,-0.2,-5.1,0,90,18.4,0.9
2/7/1960,-11.4,-3.3,-7.9,0,64,74.7,1
2/8/1960,-13.2,-1.3,-7.5,0,73,77.5,0.5
2/9/1960,-10.3,1.9,-4.6,0,70,78.7,0.8
2/10/1960,-8.6,-0.5,-1.9,2.339381136,92,13,0.7
2/11/1960,-1.8,0.8,-0.6,1.914039111,83,13.4,0.8
2/12/1960,-2.1,-0.2,-1.3,6.805472394,99,13.9,0.5
2/13/1960,-3,0.8,-1.2,3.934413728,99,14.4,0.6
2/14/1960,-2.1,0.2,-1.1,5.954788345,93,15.5,0.9
2/15/1960,-3.8,-0.5,-2.3,6.061123851,90,33.9,1.3
2/16/1960,-4.1,0.3,-1.6,3.190065185,84,58.5,1.6
2/17/1960,-4.3,-0.1,-3.1,0,83,68.5,0.9
2/18/1960,-7,-0.1,-4.3,0.531677531,86,30.6,0.6
2/19/1960,-10.7,1,-2,0,88,26.7,0.9
2/20/1960,-5.6,4.1,1.5,0,85,71,1.1
2/21/1960,-0.4,4.7,1.4,5.848452839,86,45.8,1
2/22/1960,-3.4,2.6,1.1,3.190065185,92,21.6,0.8
2/23/1960,1,5.3,2.6,1.914039111,96,42.7,0.8
2/24/1960,-2.6,2,-1.4,0.531677531,90,27.1,0.7
2/25/1960,-4.9,3.9,-0.2,2.76472316,89,71.7,1
2/26/1960,-1,2.9,1.6,2.126710123,95,21.6,0.7
2/27/1960,1,8.1,6,2.126710123,93,22.8,0.8
2/28/1960,1.5,11.7,7.8,0.531677531,87,28.1,0.7
2/29/1960,5.1,13.9,10.6,7.975162962,86,37.8,0.7
3/1/1960,4.3,11.6,6.1,1.276026074,89,34.9,0.8
3/2/1960,3,7.4,5.6,4.14708474,92,24.1,0.7
3/3/1960,4.7,8.4,6,9.463860048,87,44.4,0.8
3/4/1960,3,5.9,4.3,4.253420246,99,25.3,0.6
3/5/1960,0.9,4.9,2,0.638013037,95,53.9,0.8
3/6/1960,-2.6,2.7,-1.3,0,73,123.2,0.9
3/7/1960,-5.2,-0.5,-3.3,0,72,112.1,1.4
3/8/1960,-7,-2.6,-4.4,0,77,82,1.2
3/9/1960,-5.1,4,-0.6,0,70,122.5,1.4
3/10/1960,-2,5.5,0.8,0,78,44.8,0.8
3/11/1960,-2.7,6.2,2.5,0,78,38.7,0.7
3/12/1960,1.4,12.2,5.5,0,79,115.8,0.7
3/13/1960,-1.7,12.7,4.4,0,78,135.3,0.7
3/14/1960,-2.1,11.5,4.1,0,80,118.2,0.9
3/15/1960,-0.1,10.9,4.2,0,78,120.5,0.9
3/16/1960,-0.6,2.8,0,0,94,39.6,0.9
3/17/1960,-2.4,-0.4,-1.1,0,95,33.8,0.9
3/18/1960,-2.6,2.3,-0.7,0,80,46.8,0.7
3/19/1960,-3,1.8,-0.8,0,83,45.6,0.8
3/20/1960,-2.4,0.7,-0.5,0,92,36.3,0.8
3/21/1960,-1.1,1.3,-0.3,0,78,62.4,1.1
3/22/1960,-1.6,5.6,0.7,0,82,88.4,0.8
3/23/1960,-4.2,11.1,4.6,0,63,138.5,1.4
3/24/1960,-2.1,10,3.5,0,66,162.8,1.6
3/25/1960,-2.6,10.6,5.9,0.531677531,73,91.8,1.2
3/26/1960,2.8,12.3,7.7,2.76472316,83,92.4,0.7
3/27/1960,2,10.5,6.6,3.934413728,90,82.6,0.6
3/28/1960,3.4,6.4,4.6,0,95,41.2,0.9
3/29/1960,2.6,5.5,3.8,1.169690568,94,41.9,0.9
3/30/1960,2.1,4.7,3.1,0,93,43.6,1
3/31/1960,0.8,10.6,5,0,75,145,0.8
4/1/1960,-3.2,10.9,3.2,0,63,195,0.9
4/2/1960,-2.3,14,5.7,0,66,175.1,0.7
4/3/1960,-0.3,16.4,9.4,0,55,190.1,1.4
4/4/1960,1.4,12.9,7.1,0,73,121.9,0.8
4/5/1960,0.9,13,6.4,0,58,157.9,0.9
4/6/1960,-0.2,15.3,7.8,0,50,192.9,1.4
4/7/1960,0.4,15.6,8.6,1.38236158,61,139.1,0.7
4/8/1960,5.6,11.5,7.9,2.977394172,93,56.4,0.9
4/9/1960,3.8,15.6,9.3,1.276026074,78,177.4,0.8
4/10/1960,6,13.2,10,8.506840493,78,102.8,1.2
4/11/1960,2.8,10.2,4.9,2.020374617,90,65.8,1.7
4/12/1960,2.2,10,5.2,0.638013037,80,126.2,1.2
4/13/1960,2.7,14.4,10.4,5.52944632,72,91.6,1.6
4/14/1960,4.4,11.1,5.9,1.38236158,80,151.3,1.1
4/15/1960,1.6,8.2,3.7,4.466091259,90,118.6,1.2
4/16/1960,0.7,7,2.4,2.339381136,93,108.7,0.9
4/17/1960,-1.7,9.2,3.8,0,80,140.2,0.8
4/18/1960,1.2,10.1,6.8,0,82,76.3,1.1
4/19/1960,4.9,17.8,11.8,0,63,195.7,1.1
4/20/1960,6.2,18.2,10.7,0,59,230.2,0.8
4/21/1960,2.8,14,7.6,0,68,198.3,1.1
4/22/1960,1.7,7.5,6,0,84,57.3,1.1
4/23/1960,2.6,7.2,4.2,2.233045629,71,105.2,1.3
4/24/1960,0.3,5.9,1.9,9.357524542,92,97.7,1.6
4/25/1960,-0.5,5.5,2,4.678762271,89,110.5,1.1
4/26/1960,-1.2,6.7,2.3,8.613175999,88,153.5,0.9
4/27/1960,-1.3,5.5,2.1,1.38236158,96,87.6,0.8
4/28/1960,0.1,4.2,1.5,4.572426765,97,76.2,0.9
4/29/1960,-0.8,7,2.6,0.531677531,83,111.2,0.9
4/30/1960,-2.7,7.7,4.1,1.276026074,87,87.2,0.8
5/1/1960,0.4,5,2.6,1.38236158,80,65.6,0.9
5/2/1960,-3.6,6.9,2.9,0.744348543,83,144.7,0.9
5/3/1960,-3.8,12.3,5.3,0,77,237.2,0.5
5/4/1960,-1.8,16.5,8.4,0,70,247.2,0.5
5/5/1960,-0.3,18.4,10.1,0,64,261.9,0.8
5/6/1960,1.4,19.7,10.8,0,61,252.9,0.6
5/7/1960,1.6,20.1,12.5,0,66,228.9,0.7
5/8/1960,5.5,19.8,12.4,0,68,179.1,0.6
5/9/1960,3.8,17,12.3,0,70,191.6,1.3
5/10/1960,4.7,15.3,10.7,4.040749234,82,167.1,1
5/11/1960,6.1,17.5,11.1,3.402736197,83,172.8,1.1
5/12/1960,6.5,18.6,14.3,0.957019555,75,208.3,1.1
5/13/1960,9.2,21.8,15.8,3.296400691,76,192.4,0.8
5/14/1960,11.4,17.2,13.7,0.531677531,96,95,0.8
5/15/1960,10.4,21.2,15.3,3.509071703,88,137.7,0.7
5/16/1960,10,22.1,16.1,6.699136888,86,169.4,0.5
5/17/1960,10.9,17.5,13.4,17.226352,100,96.9,0.5
5/18/1960,10.2,19.6,14.6,2.76472316,90,164.1,0.8
5/19/1960,8.8,13.6,9.7,22.4367918,100,70.3,0.7
5/20/1960,7.8,14.7,9.5,1.276026074,94,114.9,0.6
5/21/1960,3.9,15.3,10.5,3.934413728,98,128.1,0.9
5/22/1960,8.3,12.4,9.5,0.531677531,97,79.1,0.7
5/23/1960,6.8,15.1,9.9,0,82,168.4,0.7
5/24/1960,6.2,16.3,9.7,10.63355062,93,129.2,1.1
5/25/1960,1.6,13.4,7.3,0,86,240.1,0.8
5/26/1960,1.6,15.7,9,0,76,269.6,1.1
5/27/1960,1.3,17.6,12.3,4.466091259,71,236.1,0.6
5/28/1960,7.6,15.1,11,1.488697086,96,107.4,0.7
5/29/1960,7.7,14.1,10,0.531677531,95,118.6,0.9
5/30/1960,7.1,10,8.4,32.7513359,100,73.6,0.9
5/31/1960,7.4,14,10.1,6.061123851,97,154.6,0.7
6/1/1960,4.2,17.9,12.8,0.531677531,83,229.2,0.7
6/2/1960,7.2,19.8,13.7,0,72,262.9,0.7
6/3/1960,6.5,20,13.7,0,70,302,1
6/4/1960,7.3,22,15.1,0,70,303.2,0.9
6/5/1960,8,23.3,17,0,67,253.9,0.9
6/6/1960,11.2,25.4,17.9,0.531677531,73,253.4,0.8
6/7/1960,11.4,18.5,13.7,0,82,163.9,0.9
6/8/1960,4.9,20.4,15.4,0,68,270.9,0.9
6/9/1960,10,18.9,14.3,1.807703605,78,140.4,0.9
6/10/1960,9.1,14.6,10.7,9.463860048,91,87.3,0.9
6/11/1960,5.8,15.4,11.3,2.126710123,97,106,1
6/12/1960,9.9,18.2,14.9,0,89,123.2,1.2
6/13/1960,11.3,21.5,14.8,14.88697086,87,161.6,0.8
6/14/1960,9,16.7,11.6,1.276026074,80,203.1,1
6/15/1960,6,15.4,10.3,3.190065185,84,176.8,0.8
6/16/1960,3.8,18.2,13.9,0.638013037,83,170.2,0.6
6/17/1960,11.7,20.2,14.1,0.531677531,79,177.6,0.9
6/18/1960,7.2,24.2,17.4,0.638013037,77,297.6,0.7
6/19/1960,10.9,17.1,12.9,0.744348543,81,140.8,1.1
6/20/1960,7.9,11.9,9.7,1.595032592,89,76.8,1
6/21/1960,8,15.4,11.2,0.638013037,91,113.5,0.8
6/22/1960,7,16,11.7,0.531677531,91,113.8,0.6
6/23/1960,6.9,25,18,0,69,279.3,1.1
6/24/1960,11.4,24.7,18.3,0,66,267.2,0.9
6/25/1960,10.5,24.5,18.4,0,62,301.1,0.9
6/26/1960,10.3,24.4,18,0,61,296.1,0.8
6/27/1960,9.5,16.4,12.6,0,83,142.2,0.9
6/28/1960,6.6,15.2,9,4.785097777,81,179.1,1.3
6/29/1960,5.7,10.3,8.5,5.104104296,94,79.9,1.7
6/30/1960,6.2,12.3,8,0.531677531,80,142.6,1.4
7/1/1960,2.4,12,7.8,0.744348543,85,110.8,1.1
7/2/1960,5.3,14,9.7,0.744348543,77,146.1,1.1
7/3/1960,6.3,10.8,8.7,0,77,75.9,1.1
7/4/1960,6.2,17,10.3,1.488697086,72,207.6,1
7/5/1960,7.9,14.5,13.1,9.782866567,100,75.9,0.8
7/6/1960,12.4,17,13.8,1.276026074,83,135.4,1.3
7/7/1960,9.3,18.8,13.5,0,75,233.8,1.1
7/8/1960,8.1,14.9,12.2,12.54758973,95,82.2,0.7
7/9/1960,8,15,11.1,4.14708474,90,126.8,1.1
7/10/1960,7.9,17.4,12.8,8.187833974,84,127.7,1.6
7/11/1960,11.1,19.7,14.3,2.871058666,82,216,1.2
7/12/1960,9.2,17.9,12.2,1.914039111,85,162.7,0.6
7/13/1960,6.8,19.3,14.3,0,78,191,0.8
7/14/1960,10.3,22.7,16.5,5.635781826,73,205.2,0.9
7/15/1960,8.5,19.3,13.6,2.339381136,92,195.1,0.7
7/16/1960,9.6,19,12.4,0.531677531,81,229.7,0.9
7/17/1960,6,20.4,15.5,1.914039111,72,169.1,1.4
7/18/1960,11,20.7,14.6,0.744348543,78,203.2,1.1
7/19/1960,10.4,21,15.4,0.850684049,78,167.1,0.8
7/20/1960,7.5,19.8,14.4,2.233045629,77,224.9,0.8
7/21/1960,8.9,15.1,10.7,8.081498468,88,125.7,0.6
7/22/1960,8,17,10.9,2.871058666,83,165.4,1
7/23/1960,5.8,12.6,8.6,3.615407209,90,118.7,0.7
7/24/1960,3.8,17.3,10.4,0,85,225.5,0.6
7/25/1960,4.8,17.6,13.8,0.850684049,91,94.7,0.6
7/26/1960,10,19.1,13.8,7.337149925,82,144.8,0.8
7/27/1960,9.6,18.4,12.9,2.552052148,81,168.4,0.6
