dates,mpot_10cm,mpot_20cm,mpot_40cm,mpot_100cm,mpot_180cm,swc_20cm_a,swc_20cm_b,swc_60cm,swc_70cm
1/1/1999,,,-42.34,,,,32.522,,48.98
1/2/1999,,,-47.321,,,,32.467,,49.47
1/3/1999,,,-36.58,,,,32.866,,49.607
1/4/1999,-2.207,-5.407,-14.067,-4.391,-8.725,,36.794,,53.378
1/5/1999,-3.562,-6.555,-6.49,8.617,-7.918,36.706,,,
1/6/1999,-15.229,-20.431,-23.279,-0.087,-7.993,33.77,,,
1/7/1999,-8.727,-14.597,-18.734,-3.648,-7.972,35.164,,,
1/8/1999,-3.606,-11.811,-14.127,0.205,-7.826,35.57,,,
1/9/1999,-3.394,-12.873,-13.626,1.042,-8.069,35.4,,,
1/10/1999,-13.873,-20.458,-26.483,-4.623,-8.872,33.357,,,
1/11/1999,-22.412,-25.583,-31.478,-8.665,-8.902,32.274,,,
1/12/1999,-26.58,-29.73,-34.856,-12.351,-9.145,32.01,,,
1/13/1999,-28.838,-32.468,-37.086,-14.135,-9.3,31.835,,,
1/14/1999,-26.396,-30.989,-35.203,-13.217,-9.718,33.726,,,
1/15/1999,-9.499,-19.225,-17.968,-4.696,-8.713,34.731,,,
1/16/1999,-1.9,-4.008,-2.245,15.257,-7.848,34.55,,,
1/17/1999,-6.826,-15.268,-16.955,8.054,-7.597,34.357,,,
1/18/1999,-19.331,-23.88,-28.575,-6.859,-7.952,32.998,,,
1/19/1999,-24.097,-28.115,-33.422,-12.339,-8.56,32.528,,,
1/20/1999,-26.998,-31.214,-36.575,-14.914,-9.066,32.314,32.691,,50.713
1/21/1999,-29.23,-33.661,-39.273,-16.995,-9.325,32.139,32.612,,50.5
1/22/1999,-29.714,-35.09,-41.337,-18.65,-9.56,31.362,32.2,,50.461
1/23/1999,-28.516,-35.56,-41.485,-19.58,-10.05,31.27,32.132,,49.813
1/24/1999,-27.273,-36.65,-42.145,-20.418,-10.536,31.424,32.037,,48.992
1/25/1999,-16.955,-25.295,-36.652,-17.981,-10.277,35.842,33.792,,50.941
1/26/1999,-7.764,-10.648,-16.334,-10.289,-11.562,35.785,34.958,,52.527
1/27/1999,-20.361,-27.632,-33.251,-13.475,-16,31.687,33.212,,49.678
1/28/1999,-15.686,-27.608,-29.492,-15.238,-16.248,31.134,32.754,,49.213
1/29/1999,-15.793,-28.237,-39.023,-20.229,-16.785,30.43,32.957,,48.269
1/30/1999,-25.531,-31.858,-41.527,-22.537,-16.691,30.911,32.472,,47.9
1/31/1999,-30.993,-36.03,-43.768,-24.076,-16.788,30.909,32.209,,47.966
2/1/1999,-32.544,-37.343,-44.044,-23.376,-16.696,32.087,31.979,,49.12
2/2/1999,-10.132,-18.388,-20.261,-11.096,-15.681,33.642,34.16,,50.996
2/3/1999,-9.051,-8.45,-9.531,2.649,-14.982,33.843,35.056,,53.812
2/4/1999,-9.77,-12.076,-8.737,11.738,-14.083,36.806,35.17,,54.277
2/5/1999,-11.938,-19.624,-17.301,4.661,-14.814,33.447,34.203,,50.068
2/6/1999,-19.986,-27.858,-30.421,-5.486,-15.519,32.348,32.938,,49.879
2/7/1999,-26.939,-31.714,-35.566,-12.026,-15.775,31.221,32.255,,49.442
2/8/1999,-28.915,-35.096,-39.662,-17.505,-16.174,30.539,32.189,,48.818
2/9/1999,-29.696,-37.207,-42.823,-20.319,-16.482,29.864,31.979,,48.305
2/10/1999,-30.718,-38.894,-45.309,-22.495,-16.698,29.699,,,
2/11/1999,-32.987,-40.703,-47.667,-24.786,-17.015,29.311,,,
2/12/1999,-34.14,-41.758,-49.316,-26.97,-17.387,29.056,,,
2/13/1999,-35.361,-42.715,-50.377,-28.096,-17.548,29.23,,,
2/14/1999,-36.806,-43.674,-51.049,-28.543,-17.531,29.09,,,
2/15/1999,-38.18,-44.733,-51.72,-28.644,-17.484,29.346,,,
2/16/1999,-38.942,-45.521,-51.918,-27.759,-17.661,29.237,,,
2/17/1999,-39.181,-46.823,-53.558,-28.496,-17.847,28.496,31.309,,48.784
2/18/1999,-38.137,-47.298,-55.173,-30.105,-18.142,28.399,31.136,,49.133
2/19/1999,-30.377,-35.329,-36.965,-18.916,-17.603,32.248,31.872,,50.278
2/20/1999,-11.495,-15.435,-13.47,8.793,-15.149,31.712,34.954,,53.588
2/21/1999,-13.001,-20.009,-20.343,4.406,-15.267,31.93,34.76,,52.462
2/22/1999,-13.215,-18.305,-17.429,8.425,-15.466,31.478,34.612,,50.281
2/23/1999,-19.528,-23.676,-31.52,-3.983,-15.888,29.935,32.791,,49.266
2/24/1999,-22.08,-30.117,-36.663,-12.164,-16.194,29.531,32.071,,49.305
2/25/1999,-23.371,-31.538,-40.048,-16.995,-16.65,29.053,31.845,,48.476
2/26/1999,-18.185,-27.723,-33.885,-16.756,-16.371,29.625,31.881,,49.444
2/27/1999,-10.059,-16.399,-18.059,-8.905,-16.127,29.454,32.661,,49.789
2/28/1999,-9.678,-11.967,-12.535,1.067,-15.34,29.435,33.919,,52.127
3/1/1999,-8.584,-9.089,-4.134,14.204,-13.738,36.863,40.199,,54.086
3/2/1999,-9.184,-9.865,-2.751,22.505,-13.47,35.746,39.025,,54.639
3/3/1999,-10.357,-15.941,-9.561,18.704,-14.367,34.423,35.38,,54.47
3/4/1999,-21.761,-29.114,-25.145,3.162,-15.848,33.024,33.878,,51.62
3/5/1999,-29.435,-34.01,-33.608,-7.072,-16.049,32.249,33.409,,51.573
3/6/1999,-32.72,-37.809,-38.925,-13.11,-16.25,31.608,32.812,,50.868
3/7/1999,-34.825,-40.5,-43.104,-17.892,-17.087,31.351,32.283,,50.07
3/8/1999,-36.572,-42.585,-45.678,-20.394,-17.226,31.362,32.681,,50.51
3/9/1999,-26.017,-34.913,-41.231,-19.451,-16.704,32.072,32.47,,50.967
3/10/1999,-15.663,-28.944,-35.252,-16.248,-16.302,32.936,33.137,,51.36
3/11/1999,-27.897,-33.234,-40.466,-18.989,-16.859,32.259,32.449,,50.051
3/12/1999,-32.147,-37.367,-43.525,-20.834,-17.198,31.749,32.387,,50.74
3/13/1999,-34.499,-40.473,-46.116,-22.788,-17.561,31.633,32.067,,51.901
3/14/1999,-36.635,-42.933,-48.292,-24.367,-17.724,31.581,31.902,,52.328
3/15/1999,-38.845,-44.872,-49.997,-25.877,-18.055,31.191,31.963,,51.298
3/16/1999,-41.274,-46.601,-51.532,-26.966,-18.011,30.898,31.929,,49.894
