YR,MO,DA,DOY,MESFL,FLOW,EVAP,TRAN,IRVP,ISVP,SLVP,SNVP,PINT,PTRAN,PSLVP
2002,  1,  1,   1,  0.000,  0.196,  0.012,  0.000,  0.000,  0.012,  0.000,  0.000,  0.221,  0.000, -0.039
2002,  1,  2,   2,  0.000,  0.222,  0.065,  0.000,  0.000,  0.065,  0.000,  0.000,  0.112,  0.000, -0.098
2002,  1,  3,   3,  0.000,  0.301,  0.016,  0.000,  0.000,  0.001,  0.000,  0.015,  0.185,  0.000,  0.031
2002,  1,  4,   4,  0.000,  0.475,  0.041,  0.000,  0.000,  0.000,  0.000,  0.041,  0.388,  0.000,  0.042
2002,  1,  5,   5,  0.000,  0.758,  0.037,  0.000,  0.000,  0.000,  0.000,  0.037,  0.902,  0.000,  0.216
2002,  1,  6,   6,  0.000,  1.042,  0.019,  0.000,  0.003,  0.088,  0.000, -0.072,  0.150,  0.000, -0.199
2002,  1,  7,   7,  0.000,  1.204, -0.027,  0.000, -0.000, -0.047,  0.000,  0.020, -0.047,  0.000, -0.316
2002,  1,  8,   8,  0.000,  1.256,  0.147,  0.000,  0.041,  0.061,  0.000,  0.045,  0.103,  0.000, -0.077
2002,  1,  9,   9,  0.000,  1.253,  0.007,  0.000,  0.002,  0.000,  0.000,  0.005,  0.080,  0.000, -0.025
2002,  1, 10,  10,  0.000,  1.229,  0.008,  0.000,  0.000,  0.000,  0.000,  0.008,  0.196,  0.000,  0.034
2002,  1, 11,  11,  0.000,  1.195,  0.060,  0.000,  0.000,  0.046,  0.000,  0.013,  0.175,  0.000,  0.009
2002,  1, 12,  12,  0.000,  1.157, -0.072,  0.000,  0.000, -0.017,  0.000, -0.056, -0.017,  0.000, -0.274
2002,  1, 13,  13,  0.000,  1.118, -0.001,  0.000,  0.000, -0.029,  0.000,  0.028, -0.029,  0.000, -0.287
2002,  1, 14,  14,  0.000,  1.079,  0.058,  0.000,  0.000,  0.050,  0.000,  0.008,  0.050,  0.000, -0.100
2002,  1, 15,  15,  0.000,  1.042,  0.059,  0.000, -0.000,  0.050,  0.000,  0.008,  0.050,  0.000, -0.078
2002,  1, 16,  16,  0.000,  1.009, -0.036,  0.000,  0.000, -0.023,  0.000, -0.013, -0.023,  0.000, -0.232
2002,  1, 17,  17,  0.000,  0.978,  0.065,  0.000, -0.000,  0.072,  0.000, -0.007,  0.072,  0.000, -0.095
2002,  1, 18,  18,  0.000,  0.950, -0.071,  0.000,  0.000, -0.057,  0.000, -0.014, -0.057,  0.000, -0.281
2002,  1, 19,  19,  0.000,  0.921, -0.028,  0.000,  0.000,  0.008,  0.000, -0.036,  0.008,  0.000, -0.215
2002,  1, 20,  20,  0.000,  0.894, -0.296,  0.000, -0.000, -0.083,  0.000, -0.213, -0.083,  0.000, -0.192
2002,  1, 21,  21,  0.000,  0.870, -0.819,  0.000,  0.000, -0.051, -0.183, -0.585, -0.051,  0.000, -0.149
2002,  1, 22,  22,  0.000,  0.864,  0.245,  0.000, -0.000,  0.227,  0.018,  0.000,  0.227,  0.000,  0.099
2002,  1, 23,  23,  0.000,  0.963,  0.594,  0.000,  0.313,  0.174,  0.106,  0.000,  0.487,  0.000,  0.255
2002,  1, 24,  24,  0.000,  1.372,  0.323,  0.000,  0.128,  0.000,  0.195,  0.000,  0.878,  0.000,  0.503
2002,  1, 25,  25,  0.000,  2.158,  0.197,  0.000,  0.191,  0.006,  0.000,  0.000,  0.836,  0.000,  0.374
2002,  1, 26,  26,  0.000,  2.665,  0.509,  0.000,  0.302,  0.000,  0.207,  0.000,  0.912,  0.000,  0.551
2002,  1, 27,  27,  0.000,  8.496,  0.365,  0.000,  0.240,  0.000,  0.125,  0.000,  0.540,  0.000,  0.306
2002,  1, 28,  28,  0.000, 11.633,  0.735,  0.000,  0.384,  0.000,  0.351,  0.000,  1.403,  0.000,  0.836
2002,  1, 29,  29,  0.000,  8.951,  0.666,  0.000,  0.043,  0.000,  0.623,  0.000,  2.387,  0.000,  1.252
2002,  1, 30,  30,  0.000,  7.180,  0.282,  0.000,  0.019,  0.000,  0.263,  0.000,  0.894,  0.000,  0.447
2002,  1, 31,  31,  0.000,  5.525,  0.405,  0.000,  0.012,  0.000,  0.392,  0.000,  1.525,  0.000,  0.763
2002,  2,  1,  32,  0.000,  4.401,  0.297,  0.000,  0.019,  0.000,  0.278,  0.000,  0.946,  0.000,  0.545
2002,  2,  2,  33,  0.000,  3.621,  0.484,  0.000,  0.000,  0.000,  0.484,  0.000,  2.019,  0.000,  0.889
2002,  2,  3,  34,  0.000,  3.064,  0.682,  0.000,  0.006,  0.000,  0.676,  0.000,  2.932,  0.000,  1.233
2002,  2,  4,  35,  0.000,  2.644,  0.924,  0.000,  0.143,  0.000,  0.781,  0.000,  2.991,  0.000,  1.516
2002,  2,  5,  36,  0.000,  2.311,  0.355,  0.000,  0.206,  0.000,  0.148,  0.000,  0.678,  0.000,  0.330
