YR,MO,MESFL,FLOW,EVAP,TRAN,IRVP,ISVP,SLVP,SNVP,PINT,PTRAN,PSLVP
2002,  1,    0.0,   69.0,    3.6,    0.0,    1.7,    0.6,    2.1,   -0.8,   12.5,    0.0,    3.1
2002,  2,    0.0,  168.3,    9.5,    0.0,    3.2,    0.7,    5.8,   -0.3,   25.9,    0.0,   12.9
2002,  3,    0.0,   96.0,   16.2,    0.0,    3.2,    0.2,   12.9,   -0.0,   35.6,    0.0,   22.3
2002,  4,    0.0,   40.9,   23.3,    0.0,    2.5,    0.0,   20.8,    0.0,   50.4,    0.0,   37.8
2002,  5,    0.0,  106.5,   51.9,   27.2,    7.7,    0.0,   17.1,    0.0,   96.6,   27.2,   20.9
2002,  6,    0.0,   49.1,   71.9,   47.5,   14.1,    0.0,   10.2,    0.0,  132.1,   47.6,   12.4
2002,  7,    0.0,  136.6,   64.3,   37.5,   18.4,    0.0,    8.4,    0.0,  105.3,   37.5,    9.8
2002,  8,    0.0,   27.6,   65.4,   48.9,    7.7,    0.0,    8.8,    0.0,  113.9,   48.9,   10.3
2002,  9,    0.0,    4.5,   35.1,   25.4,    5.0,    0.0,    4.7,    0.0,   71.3,   25.4,    6.5
2002, 10,    0.0,  110.4,   17.2,    4.3,   10.4,    0.0,    2.5,    0.0,   33.9,    4.3,    4.1
2002, 11,    0.0,  158.7,    4.1,    0.2,    3.8,   -0.1,    0.2,    0.0,    6.5,    0.2,    1.1
2002, 12,    0.0,  105.4,   -3.1,    0.0,    0.2,   -1.8,   -0.7,   -0.8,   -1.5,    0.0,   -3.3
2003,  1,    0.0,  169.9,   -1.0,    0.0,    1.0,   -0.3,   -0.1,   -1.6,    1.2,    0.0,   -1.3
2003,  2,    0.0,   48.2,    0.5,    0.0,    0.2,    0.4,    0.0,   -0.0,    9.6,    0.0,    2.2
2003,  3,    0.0,   86.2,   15.3,    0.0,    1.1,    0.0,   14.4,   -0.2,   40.6,    0.0,   26.0
2003,  4,    0.0,   19.4,   32.0,    0.0,    2.4,    0.0,   29.5,    0.0,   75.0,    0.0,   52.0
2003,  5,    0.0,   12.5,   64.2,   37.2,    9.7,    0.0,   17.3,    0.0,  126.2,   37.2,   23.4
2003,  6,    0.0,    5.4,  101.1,   81.2,   12.3,    0.0,    7.6,    0.0,  191.0,   81.2,   10.3
2003,  7,    0.0,    1.1,   93.9,   71.6,   16.7,    0.0,    5.6,    0.0,  186.1,   71.7,   10.3
2003,  8,    0.0,    0.3,   98.9,   87.2,    9.3,    0.0,    2.5,    0.0,  226.9,   95.2,   12.0
2003,  9,    0.0,    0.1,   55.1,   39.4,   12.1,    0.0,    3.6,    0.0,  104.9,   39.5,    5.9
2003, 10,    0.0,    0.1,   15.9,    5.1,    9.1,    0.3,    1.3,    0.0,   29.7,    5.1,    2.2
2003, 11,    0.0,    7.0,    6.1,    1.9,    2.9,    0.0,    1.2,    0.0,   18.0,    1.9,    2.4
2003, 12,    0.0,   98.4,    0.3,    0.0,    1.0,    0.3,   -0.5,   -0.6,    6.9,    0.0,    1.1
