
 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
 1. 1.2002  421.   0.01   0.00    0.3   0.0   0.2   0.0  -0.0   0.0       0.000
 2. 1.2002  421.   0.07   1.25    1.7   0.1   0.2   0.0  -0.1   0.0      -0.000
 3. 1.2002  421.   0.00   0.89    0.0   0.0   0.3   0.0   0.0   0.0      -0.000
 4. 1.2002  421.   0.00   0.49    0.0   0.0   0.5   0.0   0.0   0.0      -0.000
 5. 1.2002  421.   0.00   0.11    0.0   0.0   0.8   0.0   0.2   0.0       0.000
 6. 1.2002  420.   0.09   2.07    2.3   0.0   1.0   0.0  -0.2   0.0      -0.000
 7. 1.2002  420.  -0.05   2.08    1.0  -0.0   1.2   0.0  -0.3   0.0      -0.000
 8. 1.2002  419.   0.10   1.68    0.0   0.1   1.3   0.0  -0.1   0.0      -0.000
 9. 1.2002  418.   0.00   1.33    0.0   0.0   1.3   0.0  -0.0   0.0      -0.000
10. 1.2002  417.   0.00   0.97    0.0   0.0   1.2   0.0   0.0   0.0       0.000
11. 1.2002  416.   0.05   1.72    1.2   0.1   1.2   0.0   0.0   0.0       0.000
12. 1.2002  416.  -0.02   4.67    4.0  -0.1   1.2   0.0  -0.3   0.0       0.000
13. 1.2002  415.  -0.03   4.30    0.0  -0.0   1.1   0.0  -0.3   0.0      -0.000
14. 1.2002  415.   0.05   3.94    0.0   0.1   1.1   0.0  -0.1   0.0      -0.000
15. 1.2002  414.   0.05   3.58    0.0   0.1   1.0   0.0  -0.1   0.0       0.000
16. 1.2002  413.  -0.02   3.97    0.8  -0.0   1.0   0.0  -0.2   0.0       0.000
17. 1.2002  413.   0.07   3.83    0.2   0.1   1.0   0.0  -0.1   0.0       0.000
18. 1.2002  412.  -0.06   4.73    1.3  -0.1   0.9   0.0  -0.3   0.0       0.000
19. 1.2002  415.   0.01   7.39    6.9  -0.0   0.9   0.0  -0.2   0.0      -0.000
20. 1.2002  428.  -0.08   2.45    8.7  -0.3   0.9   0.0  -0.2   0.0       0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
21. 1.2002  433.  -0.05   0.00    2.5  -0.8   0.9   0.0  -0.1   0.0      -0.000
22. 1.2002  436.   0.23   0.00    3.8   0.2   0.9   0.0   0.1   0.0      -0.000
23. 1.2002  438.   0.49   0.00    2.9   0.6   1.0   0.0   0.3   0.0       0.000
24. 1.2002  438.   0.13   0.00    1.9   0.3   1.4   0.0   0.5   0.0      -0.000
25. 1.2002  439.   0.20   0.00    3.3   0.2   2.2   0.0   0.4   0.0      -0.000
26. 1.2002  470.   0.30   0.00   33.9   0.5   2.7   0.0   0.6   0.0       0.000
27. 1.2002  467.   0.24   0.00    6.7   0.4   8.5   0.0   0.3   0.0      -0.000
28. 1.2002  463.   0.38   0.00    7.8   0.7  11.6   0.0   0.8   0.0      -0.000
29. 1.2002  454.   0.04   0.00    0.7   0.7   9.0   0.0   1.3   0.0      -0.000
30. 1.2002  447.   0.02   0.00    0.3   0.3   7.2   0.0   0.4   0.0      -0.000
31. 1.2002  441.   0.01   0.00    0.2   0.4   5.5   0.0   0.8   0.0      -0.000
 1. 2.2002  437.   0.02   0.00    0.3   0.3   4.4   0.0   0.5   0.0       0.000
 2. 2.2002  433.   0.00   0.00    0.0   0.5   3.6   0.0   0.9   0.0       0.000
 3. 2.2002  429.   0.01   0.00    0.1   0.7   3.1   0.0   1.2   0.0      -0.000
 4. 2.2002  428.   0.14   0.00    2.4   0.9   2.6   0.0   1.5   0.0       0.000
